source_id;programme_id;titre;organisme;date_publication;type_source;role_source;url;source_primaire;commentaire
SRC_RAF_F5_DGA_2024;rafale;Rafale standard F5 : premières commandes notifiées aux industriels;Direction générale de l'armement (DGA);2024-10-14;source_officielle;statut_evolution;https://www.defense.gouv.fr/dga/actualites/rafale-standard-f5-premieres-commandes-notifiees-aux-industriels;true;Documente le lancement du standard F5, ses principales évolutions et les industriels des premiers contrats.
SRC_RAF_ASN4G_DGA_2026;rafale;La DGA commande le développement du missile hypersonique ASN4G à MBDA;Direction générale de l'armement (DGA);2026-06-11;source_officielle;statut_evolution;https://www.defense.gouv.fr/dga/actualites/dga-commande-developpement-du-missile-hypersonique-asn4g-mbda;true;Confirme que le Rafale F5 est en développement et qu'il emportera l'ASN4G.
SRC_SCORPION_ADT_2024;scorpion;Programme Scorpion : 10 ans d'innovation pour l'armée de Terre;Armée de Terre / Ministère des Armées;2024-11-13;source_officielle;statut_livraisons;https://www.defense.gouv.fr/terre/actualites/programme-scorpion-10-ans-dinnovation-larmee-terre;true;Documente les livraisons, les cibles calendaires et la poursuite du programme jusqu'aux années 2030.
SRC_SCORPION_SERVAL_DGA_2026;scorpion;La DGA livre les 30 premiers véhicules blindés Serval appui Scorpion;Direction générale de l'armement (DGA);2026-01-21;source_officielle;actualite_2026;https://www.defense.gouv.fr/dga/actualites/dga-livre-30-premiers-vehicules-blindes-serval-appui-scorpion-larmee-terre;true;Confirme la poursuite des livraisons dans l'environnement Scorpion en 2026.
SRC_FDI_DGA_2026;fdi;La DGA commande la cinquième frégate de défense et d’intervention à Naval Group;Direction générale de l'armement (DGA);2026-04-02;source_officielle;statut_commande_livraisons;https://www.defense.gouv.fr/dga/actualites/dga-commande-cinquieme-fregate-defense-dintervention-fdi-naval-group;true;Confirme la cinquième commande, la première livraison en 2025 et les prochaines livraisons jusqu'en 2032.
SRC_BARRACUDA_DGA_2026;barracuda;La DGA livre le sous-marin nucléaire d’attaque De Grasse à la Marine nationale;Direction générale de l'armement (DGA);2026-06-26;source_officielle;statut_livraisons;https://www.defense.gouv.fr/dga/actualites/dga-livre-marin-nucleaire-dattaque-grasse-marine-nationale;true;"Le De Grasse est le quatrième des six SNA Suffren ; les deux derniers sont en construction."
SRC_SNLE3G_DGA_2024;snle3g;Lancement de la construction du premier SNLE de 3e génération;Direction générale de l'armement (DGA);2024-03-20;source_officielle;statut_realisation;https://www.defense.gouv.fr/dga/actualites/lancement-construction-du-premier-marin-nucleaire-lanceur-dengins-3e-generation;true;Confirme le programme en réalisation et la construction du premier bâtiment.
SRC_PANG_COLSBLEUS_2026;pang;France Libre : la DGA à la manœuvre;Marine nationale / Cols bleus;2026-07-16;source_officielle;statut_realisation;https://www.colsbleus.defense.gouv.fr/fr/france-libre-la-dga-la-manoeuvre;true;Décrit le programme PA-NG en réalisation, sa maîtrise d'ouvrage et les principaux industriels.
SRC_PANG_COLSBLEUS_2026_2;pang;PA-NG : à quoi servira le France Libre ?;Marine nationale / Cols bleus;2026-07-17;source_officielle;statut_realisation;https://www.colsbleus.defense.gouv.fr/fr/pa-ng-quoi-servira-le-france-libre;true;Confirme le lancement officiel en réalisation fin 2025 et la cible de mise en service à l'horizon 2038.
SRC_M51_DGA_2025;m51;La DGA commande le développement du missile balistique stratégique M51.4 à ArianeGroup;Direction générale de l'armement (DGA);2025-09-12;source_officielle;statut_modernisation;https://www.defense.gouv.fr/dga/actualites/dga-commande-developpement-du-missile-balistique-strategique-m514-arianegroup;true;Documente le développement et la production du M51.4.
SRC_M51_2025_BILAN;m51;Un niveau historique de commandes passées par la DGA en 2025;Direction générale de l'armement (DGA);2026-02-01;source_officielle;statut_service;https://www.defense.gouv.fr/dga/actualites/niveau-historique-commandes-passees-dga-2025;true;Confirme l'entrée en service opérationnelle du M51.3 en 2025.
SRC_ASTER_MICA_DGA_2026;aster;La DGA commande la version multi-couches Aster/Mica VL;Direction générale de l'armement (DGA);2026-06-10;source_officielle;statut_developpement;https://www.defense.gouv.fr/dga/actualites/dga-commande-version-multi-couches-astermica-vl;true;Documente le développement de l'intégration multi-couches Aster/Mica VL du SAMP/T NG.
