site_id,entreprise_id,entreprise,nom_site,champ,valeur,periode,perimetre,mode_obtention,formule_ou_regle,source_id,source_url,source_verification_url,niveau_source,statut_audit,commentaire_audit
01-001-meudon,1,THALES,Meudon,nom_site,Meudon,2026-08-12,établissement / site,publie_corporate_ou_synthese,,SRC0006,https://careers.thalesgroup.com/global/en/france,https://www.pappers.fr/entreprise/thales-552059024,A2 - source primaire corporate,documente,
01-001-meudon,1,THALES,Meudon,type_site,siège,2026-08-12,établissement / site,publie_corporate_ou_synthese,,SRC0006,https://careers.thalesgroup.com/global/en/france,https://www.pappers.fr/entreprise/thales-552059024,A2 - source primaire corporate,documente,
01-001-meudon,1,THALES,Meudon,est_siege,true,2026-08-12,établissement / site,publie_corporate_ou_synthese,,SRC0006,https://careers.thalesgroup.com/global/en/france,https://www.pappers.fr/entreprise/thales-552059024,A2 - source primaire corporate,documente,
01-001-meudon,1,THALES,Meudon,entite,Thales SA,2026-08-12,établissement / site,publie_corporate_ou_synthese,,SRC0006,https://careers.thalesgroup.com/global/en/france,https://www.pappers.fr/entreprise/thales-552059024,A2 - source primaire corporate,documente,
01-001-meudon,1,THALES,Meudon,ville,Meudon,2026-08-12,établissement / site,publie_corporate_ou_synthese,,SRC0006,https://careers.thalesgroup.com/global/en/france,https://www.pappers.fr/entreprise/thales-552059024,A2 - source primaire corporate,documente,
01-001-meudon,1,THALES,Meudon,departement,Hauts-de-Seine,2026-08-12,commune,geocode_centre_commune,,SRC0003,https://www.data.gouv.fr/datasets/communes-et-villes-de-france-en-csv-excel-json-parquet-et-feather,https://www.pappers.fr/entreprise/thales-552059024,A1 - registre public officiel,documente,
01-001-meudon,1,THALES,Meudon,code_departement,92,2026-08-12,commune,geocode_centre_commune,,SRC0003,https://www.data.gouv.fr/datasets/communes-et-villes-de-france-en-csv-excel-json-parquet-et-feather,https://www.pappers.fr/entreprise/thales-552059024,A1 - registre public officiel,documente,
01-001-meudon,1,THALES,Meudon,region,Île-de-France,2026-08-12,commune,geocode_centre_commune,,SRC0003,https://www.data.gouv.fr/datasets/communes-et-villes-de-france-en-csv-excel-json-parquet-et-feather,https://www.pappers.fr/entreprise/thales-552059024,A1 - registre public officiel,documente,
01-001-meudon,1,THALES,Meudon,adresse,4 RUE DE LA VERRERIE 92190 MEUDON,2026-08-12,adresse établissement SIRENE,registre_public,,SRC0001,https://www.data.gouv.fr/datasets/base-sirene-des-entreprises-et-de-leurs-etablissements-siren-siret,https://www.pappers.fr/entreprise/thales-552059024,A1 - registre public officiel,documente,
01-001-meudon,1,THALES,Meudon,latitude,48.804,2026-08-12,commune,geocode_centre_commune,,SRC0003,https://www.data.gouv.fr/datasets/communes-et-villes-de-france-en-csv-excel-json-parquet-et-feather,https://www.pappers.fr/entreprise/thales-552059024,A1 - registre public officiel,documente,Coordonnée de centre-commune lorsque precision_coordonnees = centre_commune_2026 ; ce n’est pas l’entrée exacte du site.
01-001-meudon,1,THALES,Meudon,longitude,2.227,2026-08-12,commune,geocode_centre_commune,,SRC0003,https://www.data.gouv.fr/datasets/communes-et-villes-de-france-en-csv-excel-json-parquet-et-feather,https://www.pappers.fr/entreprise/thales-552059024,A1 - registre public officiel,documente,Coordonnée de centre-commune lorsque precision_coordonnees = centre_commune_2026 ; ce n’est pas l’entrée exacte du site.
01-001-meudon,1,THALES,Meudon,activite,Siège du groupe et fonctions corporate,2026-08-12,établissement / site,publie_corporate_ou_synthese,,SRC0006,https://careers.thalesgroup.com/global/en/france,https://www.pappers.fr/entreprise/thales-552059024,A2 - source primaire corporate,documente,
01-001-meudon,1,THALES,Meudon,niveau_precision_source,commune,2026-08-12,établissement / site,qualification_ou_calcul_interne,,SRC0004,,https://www.pappers.fr/entreprise/thales-552059024,M - méthode interne,documente,
01-001-meudon,1,THALES,Meudon,precision_coordonnees,centre_commune_2026,2026-08-12,établissement / site,qualification_ou_calcul_interne,,SRC0004,,https://www.pappers.fr/entreprise/thales-552059024,M - méthode interne,documente,
01-001-meudon,1,THALES,Meudon,statut_validation,validé_public,2026-08-12,établissement / site,qualification_ou_calcul_interne,,SRC0004,,https://www.pappers.fr/entreprise/thales-552059024,M - méthode interne,documente,
01-001-meudon,1,THALES,Meudon,date_reference,2026-08-12,2026-08-12,établissement / site,qualification_ou_calcul_interne,,SRC0004,,https://www.pappers.fr/entreprise/thales-552059024,M - méthode interne,documente,
01-001-meudon,1,THALES,Meudon,siren,552059024,2026-07-31,établissement SIRENE (SIRET),registre_public,,SRC0001,https://www.data.gouv.fr/datasets/base-sirene-des-entreprises-et-de-leurs-etablissements-siren-siret,https://www.pappers.fr/entreprise/thales-552059024,A1 - registre public officiel,documente,
01-001-meudon,1,THALES,Meudon,siret,55205902401909,2026-07-31,établissement SIRENE (SIRET),registre_public,,SRC0001,https://www.data.gouv.fr/datasets/base-sirene-des-entreprises-et-de-leurs-etablissements-siren-siret,https://www.pappers.fr/entreprise/thales-552059024,A1 - registre public officiel,documente,
