record_id,entreprise_id,entreprise,champ,valeur,periode,perimetre,mode_obtention,formule,source_id,source_url,niveau_source,statut_audit,commentaire_audit
1,1,THALES,id,1,2026-08-12,groupe / entité selon libellé,synthese_documentaire,,SRC0005,https://www.thalesgroup.com/,A2 - source primaire corporate,documente,
1,1,THALES,slug,thales,2026-08-12,groupe / entité selon libellé,synthese_documentaire,,SRC0005,https://www.thalesgroup.com/,A2 - source primaire corporate,documente,
1,1,THALES,entreprise,THALES,2026-08-12,groupe / entité selon libellé,synthese_documentaire,,SRC0005,https://www.thalesgroup.com/,A2 - source primaire corporate,documente,
1,1,THALES,categorie,Grand maître d’œuvre / systémier,2026-08-12,groupe / entité selon libellé,synthese_documentaire,,SRC0005,https://www.thalesgroup.com/,A2 - source primaire corporate,documente,
1,1,THALES,secteur_principal,Électronique & C4ISR,2026-08-12,groupe / entité selon libellé,synthese_documentaire,,SRC0005,https://www.thalesgroup.com/,A2 - source primaire corporate,documente,
1,1,THALES,specialite,"Électronique de défense, radars, C4ISR, sonars, cyber et spatial",2026-08-12,groupe / entité selon libellé,synthese_documentaire,,SRC0005,https://www.thalesgroup.com/,A2 - source primaire corporate,documente,
1,1,THALES,secteurs,"Électronique, C4ISR, radars, sonars, guerre électronique, optronique, communications sécurisées, cyber, spatial.",2026-08-12,groupe / entité selon libellé,synthese_documentaire,,SRC0005,https://www.thalesgroup.com/,A2 - source primaire corporate,documente,
1,1,THALES,description,"Thales est le grand systémier français de l’électronique de défense : capteurs, radars, sonars, communications tactiques, guerre électronique, optronique, cybersécurité et systèmes spatiaux. Le groupe équipe les trois armées françaises et de nombreuses forces alliées, avec une présence critique sur le Rafale, la défense aérienne SAMP/T NG, les frégates et sous-marins, ainsi que les réseaux de commandement. Sa maîtrise des capteurs, des liaisons sécurisées et de la chaîne de décision lui confère un rôle souverain majeur dans la supériorité informationnelle et la conduite des opérations.",2026-08-12,groupe / entité selon libellé,synthese_documentaire,,SRC0005,https://www.thalesgroup.com/,A2 - source primaire corporate,documente,
1,1,THALES,siege_ville,Meudon,2026-08-12,France / périmètre corporate indiqué,publie,,SRC0006,https://careers.thalesgroup.com/global/en/france-careers,A2 - source primaire corporate,documente,
1,1,THALES,siege_departement,Hauts-de-Seine,2026-08-12,France / périmètre corporate indiqué,publie,,SRC0006,https://careers.thalesgroup.com/global/en/france-careers,A2 - source primaire corporate,documente,
1,1,THALES,siege_region,Île-de-France,2026-08-12,France / périmètre corporate indiqué,publie,,SRC0006,https://careers.thalesgroup.com/global/en/france-careers,A2 - source primaire corporate,documente,
